,AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
21839,A683086,Mini Cooper,2014-08-24 16:34:00,Adoption,,Dog,Spayed Female,2 years,Australian Kelpie Mix,Black/Brown
21840,A705628,,2015-06-19 00:00:00,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black
21842,A678596,Sammy,2014-06-02 18:08:00,Adoption,,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Black/Tan
21843,A671246,,2014-01-25 18:46:00,Adoption,,Dog,Spayed Female,2 years,Cairn Terrier Mix,White/Brown
21844,A709870,Krusty,2015-08-19 13:06:00,Transfer,Partner,Dog,Intact Male,4 months,Weimaraner Mix,Blue
21845,A652785,Dolly Lou,2014-01-20 11:43:00,Return_to_owner,,Dog,Spayed Female,1 year,Labrador Retriever/Pit Bull,Tan/White
21846,A677982,Chachi,2015-02-20 17:07:00,Return_to_owner,,Dog,Neutered Male,2 years,West Highland Mix,White
21848,A711941,,2015-09-18 17:12:00,Adoption,,Dog,Spayed Female,3 months,Chihuahua Shorthair Mix,Fawn
21850,A691687,Pepper,2014-11-15 14:34:00,Adoption,,Dog,Neutered Male,4 months,Australian Cattle Dog/Labrador Retriever,Blue Tick/Red
21853,A670912,Daisy,2015-10-04 12:27:00,Adoption,,Dog,Spayed Female,1 year,Catahoula Mix,White/Black
21855,A678369,Jake,2014-05-08 12:54:00,Return_to_owner,,Dog,Neutered Male,5 years,Labrador Retriever Mix,Black
21856,A701249,Charm,2015-05-04 15:31:00,Transfer,Partner,Dog,Intact Female,4 years,English Bulldog/Pit Bull,White/Tan
21858,A695774,,2015-01-27 18:43:00,Adoption,,Dog,Spayed Female,5 years,Maltese,White
21859,A705807,,2015-06-24 15:15:00,Transfer,Partner,Dog,Intact Male,2 months,Labrador Retriever Mix,Black/White
21860,A710191,Asher,2015-08-23 17:48:00,Adoption,,Dog,Neutered Male,4 years,Miniature Poodle Mix,Black/White
21863,A701777,Roscoe,2015-05-12 18:11:00,Adoption,,Dog,Neutered Male,1 year,Australian Shepherd Mix,White
21864,A684095,Dog,2014-07-24 17:12:00,Return_to_owner,,Dog,Neutered Male,8 years,Labrador Retriever Mix,Black/White
21865,A717871,Bambi,2015-12-22 18:29:00,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,White/Brown
21866,A682608,,2014-08-01 16:30:00,Adoption,Foster,Dog,Spayed Female,1 month,Labrador Retriever Mix,Brown/White
21867,A691595,Titan,2014-11-08 14:00:00,Return_to_owner,,Dog,Neutered Male,2 years,Doberman Pinsch Mix,Black/Brown
21868,A708783,Max,2015-08-26 17:48:00,Transfer,Partner,Dog,Neutered Male,2 years,Australian Cattle Dog/Staffordshire,White/Brown
21872,A672144,,2014-02-08 11:09:00,Transfer,Partner,Dog,Neutered Male,6 months,Dachshund Longhair Mix,Tan
21874,A671373,Lola,2014-01-23 12:11:00,Return_to_owner,,Dog,Spayed Female,5 years,Weimaraner Mix,Gray
21875,A603952,Maximiliano,2014-02-26 15:27:00,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair,White
21876,A686386,Shelby,2015-04-12 14:27:00,Return_to_owner,,Dog,Spayed Female,1 year,German Shepherd/Boxer,Brown/Black
21877,A692124,Sid,2014-11-28 18:48:00,Adoption,,Dog,Neutered Male,1 year,Siberian Husky Mix,Black/Tan
21881,A675199,Halo,2014-03-31 15:28:00,Transfer,Partner,Dog,Neutered Male,1 year,Yorkshire Terrier,Brown/Gray
21882,A663621,Mandy,2013-10-26 13:04:00,Adoption,,Dog,Spayed Female,2 years,Border Collie Mix,Chocolate/White
21886,A609952,June,2015-06-29 15:49:00,Return_to_owner,,Dog,Spayed Female,4 years,Labrador Retriever Mix,Black
21887,A717107,Talia,2015-12-06 19:05:00,Adoption,,Dog,Spayed Female,7 years,Doberman Pinsch/Labrador Retriever,Fawn/Tan
21888,A669781,Cuatemo,2014-04-11 13:24:00,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Chow Chow,Yellow
21890,A666803,,2013-11-17 14:12:00,Transfer,Partner,Dog,Neutered Male,4 years,Beagle,Tricolor
21892,A695158,Tina,2015-01-18 18:41:00,Adoption,,Dog,Spayed Female,2 years,Bedlington Terr Mix,White
21894,A714522,Pops,2015-11-04 12:11:00,Return_to_owner,,Dog,Neutered Male,2 years,Staffordshire Mix,Brown/White
21895,A664984,Buddy,2013-10-18 18:46:00,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue
21897,A716091,Bennie,2015-11-30 14:00:00,Transfer,Partner,Dog,Intact Male,2 years,Queensland Heeler Mix,Brown Tiger
21898,A700231,,2015-04-10 16:21:00,Transfer,Partner,Dog,Intact Male,2 days,Pit Bull Mix,Blue/White
21899,A713824,Marky Bark,2015-10-18 19:41:00,Adoption,,Dog,Neutered Male,5 months,Manchester Terrier Mix,Black/Tan
21903,A664461,,2013-10-09 17:31:00,Adoption,,Dog,Neutered Male,2 months,Dachshund Wirehair Mix,Tan
21904,A509390,Jazzbo,2014-09-19 11:03:00,Return_to_owner,,Dog,Neutered Male,7 years,Dachshund Mix,Tan/White
21905,A711612,Rambo,2016-01-17 12:23:00,Transfer,Partner,Dog,Neutered Male,4 years,Beauceron Mix,Black/Tan
21906,A688689,Tex,2014-11-03 13:52:00,Transfer,Partner,Dog,Intact Male,5 months,Chihuahua Shorthair Mix,Tan/White
21909,A692540,Kapie,2014-11-26 17:01:00,Adoption,,Dog,Neutered Male,2 months,Dachshund Mix,Red
21910,A615621,Tank,2014-05-05 11:46:00,Return_to_owner,,Dog,Neutered Male,14 years,Pit Bull Mix,White/Brown Brindle
21911,A647578,Bella,2014-09-26 14:12:00,Euthanasia,Court/Investigation,Dog,Spayed Female,4 years,Pit Bull Mix,White
21912,A690481,,2014-10-22 17:47:00,Transfer,Partner,Dog,Intact Female,3 weeks,Pointer Mix,Black/White
21913,A688478,Charlie,2014-09-30 17:59:00,Return_to_owner,,Dog,Neutered Male,4 years,Shih Tzu Mix,Black/Gray
21914,A688335,Honeybee,2014-10-26 18:45:00,Adoption,,Dog,Spayed Female,9 months,Labrador Retriever/Border Collie,Black/White
21918,A666495,Gatsby,2013-11-02 15:37:00,Adoption,,Dog,Intact Male,1 month,Jack Russell Terrier Mix,Tan
21923,A641520,Toby,2015-05-24 17:58:00,Adoption,,Dog,Neutered Male,3 years,Whippet Mix,Fawn
21925,A679083,,2014-05-20 15:34:00,Transfer,Partner,Dog,Neutered Male,6 years,Great Dane Mix,White/Black
21927,A676380,Lola,2014-04-20 17:44:00,Return_to_owner,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Brown
21932,A661685,Cash,2014-01-03 18:17:00,Return_to_owner,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black
21934,A668499,,2013-12-09 15:53:00,Transfer,Partner,Dog,Intact Female,2 years,Rat Terrier/Chihuahua Shorthair,White/Tan
21936,A679750,Shotzy,2014-10-09 16:38:00,Return_to_owner,,Dog,Spayed Female,5 years,Weimaraner Mix,Chocolate
21938,A681851,Guera,2014-06-26 08:59:00,Transfer,Partner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White
21939,A673176,Ruexb,2014-02-24 17:22:00,Adoption,,Dog,Spayed Female,2 months,Jack Russell Terrier/Cavalier Span,White/Red
21940,A665416,,2013-10-21 19:10:00,Adoption,,Dog,Spayed Female,2 months,Cairn Terrier Mix,Tan
21943,A687001,Clover,2014-09-03 17:12:00,Return_to_owner,,Dog,Spayed Female,1 year,Australian Kelpie Mix,Black
21945,A705085,Zelda,2015-06-14 15:00:00,Return_to_owner,,Dog,Intact Female,4 years,Labrador Retriever Mix,Chocolate
21946,A656760,Jessie,2013-10-19 12:13:00,Return_to_owner,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Chocolate
21949,A693147,Agnes,2014-12-09 10:38:00,Transfer,Partner,Dog,Spayed Female,2 years,Bullmastiff Mix,Sable
21950,A707435,Thelma,2015-11-15 18:20:00,Transfer,Partner,Dog,Spayed Female,6 months,German Shorthair Pointer Mix,Liver Tick
21952,A673408,Sabrina,2014-06-16 14:08:00,Adoption,,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,White/Red
21954,A668717,Glenda,2013-12-14 18:00:00,Transfer,Partner,Dog,Intact Female,3 months,Pit Bull Mix,Brown/White
21956,A665173,Hardy,2014-07-02 15:08:00,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Chocolate/White
21959,A613536,Titus,2015-07-15 16:19:00,Euthanasia,Aggressive,Dog,Neutered Male,6 years,Pit Bull Mix,Blue/White
21960,A716744,Lola,2015-11-25 15:13:00,Return_to_owner,,Dog,Spayed Female,6 years,Chihuahua Shorthair/Italian Greyhound,White/Tan
21961,A692144,Pepito,2014-11-25 17:22:00,Return_to_owner,,Dog,Neutered Male,1 year,Black Mouth Cur,Red/Black
21962,A719780,Liko,2016-02-14 16:47:00,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Fawn/White
21964,A706903,,2015-07-09 17:42:00,Adoption,,Dog,Neutered Male,3 months,German Shepherd/Australian Shepherd,Black/Brown
21965,A718478,,2016-01-06 12:44:00,Euthanasia,Suffering,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,White/Tan
21966,A703618,Spyder,2015-05-28 15:59:00,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Red/White
21967,A688571,Jasmine,2014-09-22 13:00:00,Return_to_owner,,Dog,Intact Female,14 years,Pug Mix,Buff
21968,A666235,Blue,2014-01-20 14:24:00,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair/Dachshund,Tan/White
21969,A612451,Waffles,2013-10-27 12:29:00,Return_to_owner,,Dog,Neutered Male,2 years,Cairn Terrier Mix,Tan
21970,A671554,Simba,2014-02-01 15:34:00,Adoption,,Dog,Neutered Male,11 months,American Bulldog/Mastiff,Brown/White
21972,A665149,,2013-10-14 15:04:00,Transfer,Partner,Dog,Intact Female,4 weeks,Chihuahua Shorthair Mix,Black
21973,A692514,,2014-12-02 16:53:00,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown/White
21974,A670307,Danny,2014-04-13 18:46:00,Adoption,,Dog,Neutered Male,2 years,German Shepherd/Labrador Retriever,Black/Tan
21975,A694860,Cindy,2015-01-14 15:47:00,Transfer,Partner,Dog,Intact Female,3 years,Miniature Poodle Mix,Black/White
21977,A701248,Benny,2015-05-30 17:04:00,Adoption,,Dog,Neutered Male,2 years,Wire Hair Fox Terrier Mix,Black/Tan
21980,A689638,Mary Jane,2014-10-14 12:41:00,Transfer,Partner,Dog,Intact Female,3 years,Plott Hound Mix,Black/Tan
21981,A712207,Gizmo,2015-09-22 12:21:00,Transfer,Partner,Dog,Neutered Male,4 years,Shih Tzu Mix,White/Tan
21983,A711583,Phoebe,2015-10-16 00:00:00,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
21984,A712578,Lily,2015-09-26 14:37:00,Adoption,,Dog,Spayed Female,1 year,Papillon Mix,White
21985,A683815,,2014-07-19 17:28:00,Adoption,,Dog,Spayed Female,2 years,Miniature Poodle Mix,White
21986,A717433,Biko,2015-12-18 15:41:00,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle
21987,A665981,,2013-11-04 14:51:00,Adoption,,Dog,Spayed Female,10 months,Chihuahua Longhair Mix,Buff
21990,A691112,Manny,2014-11-04 12:52:00,Transfer,Partner,Dog,Neutered Male,7 months,Labrador Retriever Mix,Tan/White
21992,A706504,Bentley,2015-07-10 11:41:00,Adoption,,Dog,Neutered Male,3 years,Shih Tzu Mix,White
21993,A666786,Andie,2013-12-29 14:33:00,Transfer,Partner,Dog,Spayed Female,2 years,Australian Kelpie/Chinese Sharpei,Black/Tan
21994,A715705,Freya,2015-11-22 18:45:00,Adoption,,Dog,Spayed Female,2 years,Bullmastiff Mix,Brown/Black
21997,A716831,Torment,2015-11-29 17:56:00,Return_to_owner,,Dog,Neutered Male,3 years,Labrador Retriever/Border Collie,Black
21998,A706535,Lacy,2015-07-05 17:25:00,Adoption,,Dog,Spayed Female,1 month,Catahoula Mix,Blue Merle/Tan
21999,A669252,Willow,2013-12-21 18:10:00,Adoption,,Dog,Spayed Female,1 year,Soft Coated Wheaten Terrier Mix,White/Buff
22000,A689506,Brahma,2014-10-21 17:07:00,Adoption,,Dog,Neutered Male,3 years,Border Collie Mix,Black/White
22003,A677223,Mickey,2014-05-11 11:24:00,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Red/Black
22004,A664553,Spunky,2013-11-28 09:21:00,Adoption,Foster,Dog,Neutered Male,1 month,Chinese Sharpei Mix,Black/White
22007,A685380,Ruger,2014-08-07 16:36:00,Return_to_owner,,Dog,Intact Male,1 year,Rottweiler Mix,Black/Brown
22008,A703856,Curlysue,2015-06-13 14:25:00,Adoption,,Dog,Spayed Female,9 years,Flat Coat Retriever Mix,Black
22009,A715830,Farley,2015-12-12 17:53:00,Adoption,,Dog,Neutered Male,8 years,English Bulldog/Beagle,Brown/Black
22011,A715747,Scarlet,2015-11-10 11:08:00,Return_to_owner,,Dog,Spayed Female,8 years,Pug Mix,Tan/Black
22013,A707432,Luffy,2015-07-13 15:58:00,Return_to_owner,,Dog,Neutered Male,2 years,Dachshund/Chihuahua Shorthair,Black/Tan
22014,A710403,Lu-Ann,2015-08-26 17:53:00,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan
22015,A681064,Bishop,2014-06-20 13:42:00,Transfer,Partner,Dog,Intact Male,5 years,Doberman Pinsch,Black/Brown
22016,A699774,,2015-04-02 17:26:00,Transfer,Partner,Dog,Intact Male,1 month,Australian Shepherd/Anatol Shepherd,Blue Merle
22018,A678375,Chico,2014-05-09 17:36:00,Return_to_owner,,Dog,Neutered Male,3 years,German Shepherd/Labrador Retriever,Sable
22019,A716902,Buddy,2015-12-08 16:11:00,Transfer,Partner,Dog,Neutered Male,4 years,Miniature Poodle Mix,White
22027,A711975,,2015-09-18 15:32:00,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair/Miniature Schnauzer,Black/Tan
22028,A690950,Karma,2015-06-09 12:17:00,Adoption,Foster,Dog,Spayed Female,5 years,Boxer/Labrador Retriever,Black/Brown
22029,A696661,Regio,2015-02-20 14:51:00,Return_to_owner,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
22030,A680318,Romeo,2014-06-05 18:00:00,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White/Brown
22031,A680010,Laika,2014-06-02 19:29:00,Adoption,,Dog,Spayed Female,7 months,Rat Terrier/Pointer,Black/White
22032,A683684,,2014-07-15 17:49:00,Transfer,Partner,Dog,Neutered Male,2 years,Boston Terrier Mix,Red/White
22033,A675036,Leia,2014-06-08 11:40:00,Adoption,Foster,Dog,Spayed Female,2 years,Chihuahua Shorthair/Dachshund,Gray/White
22035,A670650,,2014-01-16 11:11:00,Adoption,,Dog,Spayed Female,1 year,Jack Russell Terrier/Chihuahua Shorthair,Brown/White
22036,A681492,Little Man,2014-07-04 17:49:00,Transfer,Partner,Dog,Intact Male,2 years,Australian Cattle Dog Mix,Yellow
22039,A719647,Stuart,2016-01-27 18:53:00,Return_to_owner,,Dog,Intact Male,1 year,Lhasa Apso Mix,Cream/Brown
22042,A673943,Jax,2014-04-13 17:27:00,Adoption,,Dog,Neutered Male,3 years,Miniature Pinscher Mix,Black/Tan
22043,A671076,Lil Dude,2014-03-14 12:39:00,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White
22044,A370852,Katie,2013-11-08 13:19:00,Return_to_owner,,Dog,Spayed Female,9 years,Chihuahua Shorthair Mix,Tan
22046,A719074,Presley,2016-01-16 16:07:00,Transfer,Partner,Dog,Intact Male,10 months,Pit Bull Mix,Black/White
22048,A667815,Joey,2014-01-01 15:08:00,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Black/Tan
22051,A680210,Brody,2014-06-03 17:54:00,Adoption,,Dog,Neutered Male,2 years,Dachshund/Cavalier Span,Black/White
22052,A708528,,2015-07-31 14:16:00,Transfer,Partner,Dog,Intact Female,3 weeks,Pit Bull Mix,White
22053,A664564,Remi,2013-10-10 17:41:00,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
22055,A667853,Gilly,2013-11-30 15:02:00,Adoption,Offsite,Dog,Neutered Male,1 year,Bruss Griffon Mix,White/Brown
22056,A698572,Tito,2015-03-13 18:46:00,Euthanasia,Suffering,Dog,Neutered Male,13 years,Chihuahua Shorthair Mix,White/Brown Brindle
22058,A695735,Ernie,2015-01-31 12:47:00,Return_to_owner,,Dog,Intact Male,2 years,Golden Retriever/Standard Poodle,White
22059,A676865,Rosie,2014-06-19 14:43:00,Transfer,Partner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tan
22061,A689296,Rosie,2014-12-07 13:45:00,Transfer,Partner,Dog,Spayed Female,6 years,Pit Bull Mix,Chocolate/White
22062,A705527,Libby,2015-06-22 19:22:00,Adoption,,Dog,Spayed Female,3 months,Cairn Terrier Mix,Brown/White
22065,A691541,Chickla,2015-12-03 11:17:00,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn
22066,A699962,,2015-04-05 11:52:00,Euthanasia,Suffering,Dog,Intact Female,10 years,Chihuahua Shorthair Mix,Black/White
22067,A696769,Remmy,2015-02-12 13:19:00,Return_to_owner,,Dog,Spayed Female,4 years,Labrador Retriever/Pointer,White/Tan
22070,A688785,,2014-09-30 08:16:00,Euthanasia,Aggressive,Dog,Intact Male,2 years,American Bulldog Mix,Brown/White
22071,A666716,,2013-11-11 10:49:00,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,White
22072,A684112,Tommy,2014-07-24 12:46:00,Transfer,Partner,Dog,Intact Male,3 months,Plott Hound Mix,Brown Brindle
22073,A689238,,2014-10-02 14:36:00,Transfer,Partner,Dog,Unknown,1 day,Labrador Retriever Mix,Sable/Brown
22075,A717714,Rebekah,2015-12-18 18:23:00,Adoption,,Dog,Spayed Female,4 months,Pit Bull Mix,Brown/White
22078,A664275,Mcdermot,2013-10-13 17:04:00,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tricolor
22079,A701528,Precious,2015-06-24 17:21:00,Return_to_owner,,Dog,Spayed Female,1 year,Dachshund/Beagle,Brown/Tan
22082,A666703,Leo,2014-12-31 13:09:00,Adoption,,Dog,Neutered Male,1 year,Catahoula Mix,Yellow Brindle/White
22084,A698209,Milo,2015-03-14 11:05:00,Return_to_owner,,Dog,Intact Male,5 months,Yorkshire Terrier,Tricolor/Silver
22085,A713727,Honey,2015-10-12 14:16:00,Transfer,Partner,Dog,Intact Female,9 years,Chihuahua Shorthair Mix,Tan
22087,A696903,Snickers,2015-02-18 15:29:00,Return_to_owner,,Dog,Spayed Female,14 years,Chihuahua Longhair,Black/Brown
22089,A714906,Polly,2015-11-03 19:00:00,Adoption,,Dog,Spayed Female,8 months,Pit Bull Mix,Blue/White
22090,A642475,Richie,2013-12-04 16:21:00,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Fawn
22091,A679597,Bruno,2014-05-27 17:43:00,Adoption,,Dog,Neutered Male,4 months,Pit Bull/Labrador Retriever,Black/White
22094,A689707,Harper,2014-10-09 18:38:00,Adoption,,Dog,Spayed Female,3 years,Yorkshire Terrier/Chihuahua Shorthair,Brown/Black
22096,A665003,Prof Griffin,2013-10-17 18:42:00,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tricolor
22097,A696010,Mee Mee,2015-02-01 18:51:00,Transfer,Partner,Dog,Spayed Female,2 months,Australian Cattle Dog/German Shepherd,Tricolor
22098,A689228,Louie,2014-12-05 15:55:00,Adoption,,Dog,Neutered Male,6 months,Dachshund/Chihuahua Shorthair,Sable/Tan
22100,A681565,Porter,2014-07-02 18:00:00,Transfer,Partner,Dog,Neutered Male,1 year,Beagle Mix,Tricolor/Black
22102,A712022,Murphy,2015-09-20 17:21:00,Adoption,,Dog,Neutered Male,1 year,Australian Shepherd Mix,Brown/Black
22104,A678849,,2014-06-16 17:44:00,Adoption,Foster,Dog,Spayed Female,1 month,Jack Russell Terrier Mix,Black/White
22105,A697822,Stella,2015-03-02 14:04:00,Return_to_owner,,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Brown Brindle
22106,A700964,Chiki,2015-09-21 18:49:00,Return_to_owner,,Dog,Spayed Female,6 years,Shih Tzu Mix,Gray/White
22108,A634508,Chaser,2013-11-29 17:21:00,Return_to_owner,,Dog,Spayed Female,1 year,Jack Russell Terrier/Australian Cattle Dog,Tricolor
22110,A696992,Marshall,2015-02-21 18:29:00,Adoption,,Dog,Neutered Male,1 year,Australian Shepherd Mix,Red Merle
22111,A680752,Tigerwoods,2014-07-04 11:14:00,Transfer,Partner,Dog,Neutered Male,1 year,American Pit Bull Terrier Mix,Yellow Brindle
22116,A677932,Princess,2014-05-14 15:40:00,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/White
22119,A706997,Bam Bam,2015-07-10 18:18:00,Return_to_owner,,Dog,Neutered Male,2 years,Australian Cattle Dog Mix,Tan/White
22120,A666246,Malachi,2013-11-11 17:18:00,Adoption,,Dog,Neutered Male,8 months,Labrador Retriever Mix,Black/White
22121,A670617,Riley Mae,2014-01-18 10:21:00,Adoption,,Dog,Intact Female,2 months,Australian Cattle Dog/Chinese Sharpei,Red Tick/White
22128,A670910,Mitchell,2014-01-22 11:55:00,Transfer,Partner,Dog,Neutered Male,2 years,Lhasa Apso,White/Tan
22130,A700918,Stephon,2015-04-21 15:16:00,Return_to_owner,,Dog,Neutered Male,4 months,Chihuahua Shorthair/Dachshund,Brown Brindle
22131,A689427,Munster,2016-01-23 12:18:00,Return_to_owner,,Dog,Neutered Male,6 years,Pomeranian Mix,Brown
22132,A694166,Ragnar,2015-03-21 14:24:00,Adoption,,Dog,Neutered Male,7 years,Rottweiler Mix,Black/Tan
22135,A705627,,2015-06-19 00:00:00,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black
22138,A720448,Annabelle,2016-02-12 14:54:00,Adoption,,Dog,Spayed Female,2 months,Pointer Mix,Tricolor
22139,A707640,Jake,2015-07-16 16:55:00,Return_to_owner,,Dog,Intact Male,2 years,Basset Hound Mix,Tricolor
22141,A709610,Sweetums,2015-08-21 17:06:00,Transfer,Partner,Dog,Intact Female,1 month,Blue Lacy/Australian Kelpie,Tricolor
22142,A670070,,2014-01-07 17:28:00,Transfer,Partner,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Tan
22143,A669284,Dream,2013-12-19 13:37:00,Return_to_owner,,Dog,Intact Female,2 years,Pit Bull Mix,Blue/White
22145,A694556,,2015-01-03 17:24:00,Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair/Border Terrier,Red/White
22146,A702472,Max,2015-05-14 19:19:00,Return_to_owner,,Dog,Intact Male,6 years,Golden Retriever Mix,Red
22148,A719551,Sally,2016-01-28 12:19:00,Transfer,Partner,Dog,Intact Female,1 year,Treeing Walker Coonhound Mix,Tricolor
22151,A684471,Captain,2014-09-21 15:10:00,Adoption,,Dog,Neutered Male,2 years,Border Collie Mix,Sable
22155,A696072,Miles,2015-02-09 13:38:00,Transfer,Partner,Dog,Neutered Male,5 years,Manchester Terrier Mix,Red/White
22156,A693610,Carsen,2014-12-19 13:18:00,Adoption,,Dog,Neutered Male,2 months,Catahoula Mix,Brown Brindle/White
22158,A676286,Gypsy,2014-04-12 16:51:00,Adoption,,Dog,Spayed Female,2 years,Australian Kelpie Mix,Black/Blue Merle
22159,A717314,Little Bit,2015-12-10 15:36:00,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan/White
22163,A701602,,2015-05-02 14:26:00,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan
22166,A715112,Yomo,2015-10-31 16:07:00,Return_to_owner,,Dog,Intact Male,2 months,Chihuahua Shorthair Mix,Chocolate/Tricolor
22167,A696645,Ceecee,2015-03-04 16:47:00,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Tan
22168,A674075,Pandora,2014-03-18 14:52:00,Transfer,Partner,Dog,Spayed Female,1 year,Miniature Schnauzer Mix,Black/Blue
22170,A687933,Herbie,2014-10-10 15:35:00,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Cream/White
22172,A701756,Honey,2015-05-08 16:42:00,Adoption,,Dog,Spayed Female,2 years,Jack Russell Terrier/Chihuahua Shorthair,Tan
22173,A673246,Sally,2014-02-28 16:15:00,Adoption,,Dog,Spayed Female,10 months,Pug/Chihuahua Shorthair,Sable/Brown
22174,A680455,Boo D.,2014-06-03 18:53:00,Return_to_owner,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black
22175,A669498,Lady,2014-12-06 15:03:00,Transfer,Partner,Dog,Spayed Female,1 year,Pit Bull Mix,Blue/White
22176,A714732,Penny,2015-11-22 17:14:00,Transfer,Partner,Dog,Spayed Female,6 months,Pointer/Labrador Retriever,White/Black
22178,A685828,Bones,2014-08-23 15:18:00,Return_to_owner,,Dog,Intact Male,8 years,Pit Bull Mix,Blue/White
22179,A677096,Muffin,2014-04-24 15:26:00,Transfer,Partner,Dog,Intact Female,1 year,Basset Hound/Dachshund,Black/White
22180,A710477,Yogi,2016-01-17 17:59:00,Adoption,,Dog,Neutered Male,5 years,Australian Cattle Dog/Cardigan Welsh Corgi,Tan
22185,A709112,Jasmine,2015-12-28 11:13:00,Adoption,Foster,Dog,Spayed Female,6 years,Pit Bull Mix,White/Brown Brindle
22186,A680883,Minkus,2014-07-14 16:55:00,Adoption,,Dog,Neutered Male,2 years,Chinese Sharpei Mix,Brown Brindle
22188,A701015,Rhino,2015-04-28 12:12:00,Adoption,,Dog,Neutered Male,2 months,Pit Bull Mix,Brown Brindle/White
22192,A696152,Lola,2015-03-02 17:31:00,Adoption,Foster,Dog,Spayed Female,1 month,Dachshund Mix,Black/Brown
22194,A693584,Diego,2014-12-10 19:23:00,Euthanasia,Suffering,Dog,Neutered Male,7 years,Yorkshire Terrier Mix,Blue/Tan
22197,A708505,Frances,2015-08-04 16:46:00,Transfer,Partner,Dog,Spayed Female,8 years,Pomeranian Mix,Tan
22198,A680505,Bernie,2014-10-05 11:40:00,Adoption,,Dog,Spayed Female,3 years,Pit Bull Mix,White/Brown
22199,A669834,,2013-12-28 14:06:00,Transfer,Partner,Dog,Intact Female,2 months,German Shepherd Mix,Black/Cream
22200,A677186,Sam,2014-11-01 11:16:00,Return_to_owner,,Dog,Neutered Male,7 years,German Shepherd/Alaskan Malamute,Tan/Black
22203,A697706,Breezy,2015-03-07 12:27:00,Transfer,Partner,Dog,Spayed Female,2 years,Pointer Mix,White/Black
22207,A673805,Betsy,2014-03-30 12:11:00,Transfer,Partner,Dog,Intact Female,3 months,Labrador Retriever/Flat Coat Retriever,Black/White
22209,A618663,Bailey,2015-08-18 13:40:00,Return_to_owner,,Dog,Neutered Male,4 years,Whippet Mix,Brown/Black
22212,A687068,Frankie,2014-09-20 16:10:00,Adoption,Offsite,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Red/Black
22213,A701098,Rocco,2015-04-29 14:17:00,Transfer,Partner,Dog,Intact Male,2 years,Dachshund Longhair,Red/White
22216,A665341,,2013-10-23 12:55:00,Transfer,Partner,Dog,Intact Male,4 months,Dachshund Mix,Red
